RefCode;Element;Name;AtNum;Group;Period;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;
82;Ca;Ca1;20;E2;4;2;8;10;8,04;1,460781;13,05702;30,46033;0,08002087;34,963;0,01;0,965094;
82;Ca;Ca2;20;E2;4;2;8;8;8,25;1,454149;12,87999;30,25668;0,08055;24,776;0,00;0,95481;
531;In;In1;49;E13;5;3;9;6;6,35;1,323802;9,71758;26,75458;0,08284233;13,09134;0,00;0,940387;
588;Mg;Mg1;12;E2;3;2;1;6;6,04;1,282584;8,83784;25,36375;0,08317863;11,79069;0,00;0,970662;
970;Ca;Ca1;20;E2;4;2;4;9;7,84;1,442161;12,56406;29,84979;0,08050446;30,66475;0,04;0,944104;
1080;Na;Na1;11;E1;3;1;2;6;6,55;1,497236;14,05917;33,77491;0,08275157;18,765;0,00;0,890147;
1537;Rb;Rb1;37;E1;5;1;4;8;8,27;1,766201;23,07858;44,77795;0,08080863;46,04692;0,00;0,864729;
2118;Al;Al1;13;E13;3;3;4;6;5,81;1,190074;7,0601;21,84145;0,08373323;9,09855;0,04;0,963599;
2119;Al;Al1;13;E13;3;3;4;6;5,8;1,187094;7,00719;21,73604;0,08373736;9,03103;0,04;0,963936;
2259;Cr;Cr1;24;E6;4;3;2;6;6,72;1,22104;7,62568;22,3269;0,08227779;10,55638;0,00;0,857782;
2260;Cr;Cr1;24;E6;4;3;2;6;6,52;1,23411;7,87317;22,95629;0,08248001;10,67589;0,00;0,910015;
2325;K;K1;19;E1;4;1;4;8;6,52;1,670167;19,51497;40,26233;0,08136128;37,1344;0,02;0,894005;
2327;K;K1;19;E1;4;1;4;8;6,52;1,670364;19,5219;40,25877;0,08134895;37,15055;0,02;0,892564;
2531;Mg;Mg1;12;E2;3;2;2;6;6,11;1,285242;8,89289;25,24344;0,08290295;11,96784;0,02;0,935144;
5458;Na;Na1;11;E1;3;1;4;5;6,3;1,572553;16,28938;38,42233;0,08887463;11,7557;0,05;0,747995;
5686;Ce;Ce1;58;Ln;6;4;8;9;7,11;1,391553;11,28725;28,07856;0,08086372;27,963;0,05;1;
6247;Ba;Ba1;56;E2;6;2;4;9;6,33;1,655626;19,0097;39,77814;0,08443494;41,741;0,17;0,981867;
8002;K;K1;19;E1;4;1;4;6;5,08;2,271838;49,11575;79,07183;0,16697966;17,964;1,63;0,898085;
8180;Fe;Fe1;26;E8;4;3;6;6;5,11;1,268788;8,55569;25,45974;0,08491314;10,75084;0,03;1;
8180;Fe;Fe2;26;E8;4;3;6;6;5,05;1,24183;8,02187;24,40325;0,08497079;10,13817;0,04;1;
8508;Ga;Ga1;31;E13;4;3;16;6;5,6;1,239305;7,97303;23,45768;0,08308647;10,51515;0,02;0,990624;
8508;In;In1;49;E13;5;3;16;7;6,3;1,330477;9,86531;26,40717;0,08225247;15,77196;0,04;0,992082;
9381;Na;Na1;11;E1;3;1;2;6;6,65;1,49877;14,10241;33,86587;0,08281116;18,80698;0,00;0,895966;
9699;Ba;Ba1;56;E2;6;2;2;6;8,72;1,776748;23,49449;45,09204;0,08241318;26,454;0,00;0,998175;
9700;Ba;Ba1;56;E2;6;2;6;11;6,33;1,670963;19,54292;40,24408;0,08237243;55,667;0,06;1;
10451;Hg;Hg1;80;E12;6;2;4;6;5,8;1,464664;13,16142;31,41972;0,0823324;17,05843;0,03;0,969543;
10503;Ca;Ca1;20;E2;4;2;2;7;6,17;1,46508;13,17264;31,65004;0,08307869;21,27509;0,07;0,961013;
10503;Ca;Ca2;20;E2;4;2;2;8;6,7;1,44799;12,71703;30,4182;0,0810434;26,72422;0,02;0,944689;
11223;U;U1;92;An;7;6;2;7;4,6;1,290011;8,99226;25,41176;0,08378687;15,56907;0,02;1;
11223;Mg;Mg1;12;E2;3;2;2;6;5,95;1,280641;8,79772;25,31995;0,08338768;11,614;0,02;0,968379;
11224;Mg;Mg2;12;E2;3;2;2;6;6,05;1,275366;8,68946;24,8581;0,08306887;11,59123;0,03;0,941274;
11224;U;U1;92;An;7;6;4;7;4,64;1,293857;9,07293;25,50571;0,08379087;15,75659;0,02;0,993336;
11224;Mg;Mg1;12;E2;3;2;2;6;6,19;1,27988;8,78206;25,00366;0,08306693;11,696;0,02;0,934649;
11225;Mg;Mg2;12;E2;3;2;2;6;6,22;1,27023;8,58491;24,62153;0,08303461;11,45752;0,03;0,937135;
