AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;RMin;RMax;RAverage
25;E7;3;4;6;5,48;1,382469;11,06763;29,72363;0,08677944;12,04133;0,079095;0,999747;2,07815;2,3182;2,19055
25;E7;3;4;6;5,71;1,374382;10,87454;29,40701;0,08485045;13,66258;0,025774;0,989204;2,13698;2,3194;2,1967
42;E6;5;2;5;4,06;1,282397;8,83398;26,32466;0,09027351;5,48618;0,095119;0,934893;1,67304;2,07231;1,93004
42;E6;5;2;5;4,14;1,265313;8,48559;25,32314;0,08733483;5,42079;0,070412;0,958079;1,67102;2,05762;1,93009
42;E6;5;2;6;4,59;1,203554;7,30273;22,9239;0,0851251;9,37217;0,034859;0,998844;1,69166;2,19686;1,94411
41;E5;3;8;5;5,97;1,355479;10,43198;27,5231;0,0849069;6,28372;0,158663;0,816107;2,07385;2,13621;2,09326
41;E5;3;8;5;5,93;1,356473;10,45496;27,56226;0,08489102;6,35497;0,154967;0,81554;2,06827;2,16021;2,09558
41;E5;3;8;5;5,97;1,355618;10,43519;27,53034;0,0849012;6,31107;0,15675;0,816323;2,07181;2,1481;2,09381
44;E8;3;2;5;5,59;1,296038;9,11888;26,10248;0,0838387;6,07266;0,01699;0,8526;1,9989;2,24437;2,05554
44;E8;3;2;5;5,59;1,295859;9,11511;26,21089;0,08395008;6,01902;0,01867;0,859184;2,0011;2,21419;2,05254
26;E8;2;2;6;5,85;1,316404;9,55557;26,44616;0,08377059;12,03521;0,002007;0,883487;2,0316;2,20386;2,12393
26;E8;2;4;6;5,99;1,31387;9,50048;26,33232;0,0829109;12,83843;0,02434;0,923111;2,07539;2,21024;2,12958
25;E7;2;8;6;5,27;1,254886;8,27754;24,65882;0,08481514;10,82399;0,022927;0,999801;1,84665;2,24311;2,02291
25;E7;2;8;6;5,21;1,258126;8,34183;24,77143;0,08486215;10,86191;0,022712;0,999571;1,84431;2,249;2,02685
25;E7;2;8;6;5,63;1,362563;10,5964;28,62722;0,08422323;13,561;0,03629;0,977514;2,13546;2,25959;2,18655
25;E7;2;8;6;5,41;1,36331;10,61383;28,92351;0,08451602;13,51606;0,045499;0,992004;2,12455;2,25636;2,18411
25;E7;2;8;6;5,29;1,3627;10,5996;28,89116;0,08463368;13,43891;0,040899;0,990733;2,0846;2,26967;2,18254
25;E7;2;8;6;5,72;1,36256;10,59634;28,53713;0,08420219;13,58374;0,055546;0,972125;2,12399;2,25388;2,18681
25;E7;3;8;6;5,72;1,184105;6,95439;21,94521;0,08407118;9,04712;0,039504;0,999991;1,86285;1,93154;1,90089
25;E7;3;8;6;5,51;1,248311;8,14812;24,25932;0,08429544;10,75339;0,033869;0,99031;1,88892;2,22888;2,01446
25;E7;3;8;6;5,22;1,246124;8,10536;24,22656;0,08415199;10,69189;0,019506;0,98963;1,88862;2,2139;2,00977
26;E8;3;2;6;5,22;1,335588;9,97943;27,99556;0,08584158;12,0889;0,053644;0,996409;2,054;2,28965;2,1243
26;E8;3;2;6;5,39;1,268432;8,5485;25,22524;0,08476512;10,80396;0,053532;0,996161;1,90185;2,12735;2,03035
26;E8;3;2;6;5,35;1,280001;8,78455;25,69555;0,08478935;11,0798;0,048069;0,996155;1,93531;2,16562;2,04816
26;E8;3;2;6;5,21;1,323095;9,70202;27,55354;0,08563805;11,84796;0,048387;0,996701;2,00643;2,24568;2,10679
26;E8;3;2;6;5,31;1,293589;9,06728;26,25817;0,08490892;11,39459;0,046894;0,996076;1,96183;2,21306;2,06902
26;E8;3;2;6;5,2;1,316594;9,55971;27,32566;0,0854763;11,76527;0,046434;0,997886;1,98172;2,22294;2,09892
27;E9;3;2;6;6;1,312175;9,46376;26,6865;0,08404937;12,1504;0,03486;0,983655;2,07175;2,14071;2,10454
27;E9;3;2;6;5,32;1,311577;9,45084;26,80467;0,08461101;11,95362;0,04754;0,99818;2,00484;2,15228;2,0992
27;E9;3;2;6;5,79;1,3016;9,2368;25,98941;0,08346127;12,21645;0,019756;0,921847;2,05316;2,2001;2,10335
27;E9;3;1;6;6,03;1,295297;9,10324;25,8809;0,0836554;11,81967;0;0,980482;2,07707;2,08556;2,08162
27;E9;3;1;6;5,8;1,305446;9,31892;26,07194;0,08352191;12,07731;0;0,960828;2,04099;2,16533;2,10192
63;Ln;3;4;8;6,82;1,498772;14,10248;32,93225;0,0818579;28,76918;0,08442;0,986384;2,47012;2,66585;2,55089
63;Ln;3;4;10;9,14;1,409996;11,74201;28,37159;0,07974934;32,61166;0,012265;0,998687;2,44169;2,5954;2,48691
25;E7;3;2;6;5,51;1,368994;10,74714;29,35066;0,08591812;12,99891;0,02203;0,984925;2,13833;2,21557;2,17308
25;E7;3;2;6;5,19;1,2592;8,36321;24,70279;0,08532676;10,88666;0,018282;0,985962;1,87267;2,33029;2,03273
25;E7;3;2;6;5,27;1,255026;8,28031;24,56587;0,0848739;10,86361;0,011869;0,993002;1,86951;2,32548;2,02651
26;E8;2;4;6;5,99;1,25768;8,33296;24,79928;0,084232;10,56854;0,000926;0,998213;2,0087;2,01826;2,01314
26;E8;2;4;4;5,01;1,438208;12,46101;31,95965;0,09282179;2,63504;0,00575;0,788222;1,97662;1,97694;1,97678
26;E8;2;4;4;5,04;1,413945;11,84094;31,16559;0,09107349;2,22215;0,00872;0,779475;1,96908;1,97767;1,97337
26;E8;2;4;4;4,91;1,475728;13,46193;34,18845;0,098854;2,02217;0,022138;0,811466;1,95163;1,97082;1,96123
26;E8;2;4;4;5,07;1,439787;12,50212;32,21349;0,09577884;2,16008;0,052065;0,787525;1,96122;1,9757;1,96846
26;E8;2;4;4;5,02;1,40652;11,65537;30,49487;0,09071854;3,10255;0,015243;0,77634;1,96273;1,96616;1,96444
26;E8;2;4;6;6,01;1,260683;8,39279;24,83571;0,08412035;10,70416;0,000751;0,994883;2,01765;2,02266;2,01963
26;E8;2;8;4;5,03;1,423094;12,07229;30,88061;0,09031584;2,7795;0,031062;0,77466;1,97438;1,99645;1,98461
26;E8;2;8;4;5,07;1,411768;11,78633;30,45608;0,089808;2,79123;0,023498;0,773212;1,95798;1,98391;1,97561
42;E6;6;2;6;4,52;1,237854;7,94506;23,74568;0,08438687;10,1995;0,029155;0,961602;1,6953;2,14416;2,00178
42;E6;6;2;6;4,46;1,237617;7,94049;23,93531;0,08465752;10,15864;0,026232;0,971056;1,69778;2,14186;1,99968
42;E6;6;2;6;4,45;1,213169;7,47916;23,47614;0,08618621;9,35118;0,027017;0,998146;1,69017;2,21394;1,95861
42;E6;6;2;6;4,55;1,210547;7,43077;23,33639;0,08608505;9,27045;0,026168;0,995547;1,70972;2,2075;1,95286
25;E7;3;2;6;5,47;1,352951;10,37373;28,40705;0,08475922;12,91362;0,040718;0,973662;2,10128;2,258;2,16236
25;E7;3;2;6;5,25;1,260149;8,38213;24,80307;0,08506584;11,06784;0,030394;0,99329;1,87454;2,42312;2,03899
23;E5;4;4;6;4,19;1,219218;7,59159;23,50153;0,08521817;9,94954;0,054333;0,998239;1,59204;2,29616;1,97831
23;E5;4;4;6;4,37;1,185474;6,97854;22,06109;0,08479862;9,27014;0,06522;0,994481;1,58496;2,26614;1,92621
23;E5;4;4;6;4,25;1,204289;7,31612;22,88976;0,0850784;9,62639;0,056474;0,997394;1,58782;2,27998;1,95486
