AtNum;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;Topology;CP composition
29;2;1;6;5,75;1,296979;9,13875;25,50054;0,08372211;25,93905;0;0,943986;{12/30/20-11};O6
56;2;2;10;9,21;1,618184;17,74893;36,85444;0,07955552;71,42945;0,047755;0,95658;{19/51/34-22};O10
25;2;2;6;5,86;1,35096;10,32799;28,41768;0,08386007;24,69372;0;0,989564;{12/30/20-11};O6
26;2;2;6;5,87;1,321624;9,66969;27,26239;0,08397595;28,30714;0;0,994744;{14/36/24-9};O6
22;4;2;4;4,35;1,283177;8,85011;27,23827;0,09150051;25,01228;0,014206;0,910174;{12/30/20-54};O4
11;1;2;6;6,18;1,468927;13,27667;32,05583;0,08233794;45,20047;0,052329;0,788133;{18/48/32-30};O6
57;3;2;10;8,08;1,457679;12,97401;30,19968;0,07944188;43,03171;0,009584;0,999044;{12/30/20-55};O10
27;2;4;6;5,58;1,302779;9,26192;26,27176;0,08372614;30,50147;0,034923;0,973898;{16/42/28-31};O6
27;2;4;6;5,61;1,3047;9,30295;26,38365;0,0839159;26,00309;0,046487;0,97641;{14/36/24-53};O6
27;2;4;6;5,59;1,307448;9,36185;26,46231;0,08394467;25,96758;0,051381;0,975545;{14/36/24-53};O6
27;2;4;6;5,49;1,304934;9,30796;26,34164;0,08375652;26,98561;0,038959;0,969378;{14/36/24-54};O6
4;2;2;4;4,02;1,198342;7,20827;25,98094;0,10120622;12,46927;0,024267;0,983297;{8/18/12-8};O4
4;2;2;4;3,99;1,198971;7,21963;26,0094;0,10150914;18,08795;0,027711;0,9839;{14/36/24-55};O4
58;4;4;8;7,54;1,367874;10,72079;27,55398;0,0812532;22,71155;0,016176;1;{8/18/12-2};O8
27;2;2;6;5,41;1,295216;9,10155;26,26311;0,08438791;20,22082;0,019156;0,99531;{10/24/16-31};O6
27;2;2;6;5,47;1,321397;9,6647;26,95127;0,08539896;22,98182;0,079905;0,960604;{10/24/16-32};O6
24;3;4;6;5,93;1,211998;7,45752;22,90452;0,0833482;9,93744;0,004872;1;{6/12/8-1};O6
24;3;4;6;5,96;1,211371;7,44595;22,88065;0,08334689;9,92217;0,00465;1;{6/12/8-1};O6
24;3;4;6;5,94;1,213969;7,49396;22,97906;0,08334926;9,98563;0,00611;1;{6/12/8-1};O6
24;3;4;6;5,95;1,21658;7,54242;23,08112;0,08337457;10,04022;0,011398;1;{6/12/8-1};O6
24;3;4;6;5,94;1,216622;7,54321;23,08212;0,08336521;10,04395;0,007749;1;{6/12/8-1};O6
24;3;4;6;5,97;1,218348;7,57535;23,14543;0,08335048;10,09336;0,005672;1;{6/12/8-1};O6
24;3;4;6;5,95;1,218679;7,58152;23,15992;0,08336544;10,09524;0,009238;1;{6/12/8-1};O6
24;3;4;6;5,95;1,217466;7,55891;23,11235;0,08335291;10,07053;0,005443;1;{6/12/8-1};O6
24;3;4;6;5,94;1,217835;7,56579;23,12599;0,0833529;10,08092;0,007665;1;{6/12/8-1};O6
29;2;2;4;5,09;1,366328;10,68447;28,72338;0,08995461;38,11474;0;0,784976;{16/42/28-32};O4
