RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
ACAQGD03;64;Ln;3;2;9;7,89;1,399886;11,49123;28,26501;0,08004732;28,46206;0,018536;0,98378
AFAXEN;3;E1;1;4;4;4,85;1,350849;10,32544;28,14234;0,08786902;3,25503;0,060248;0,812561
AFAXEN;3;E1;1;4;4;4,54;1,355146;10,4243;28,87334;0,08943973;3,23623;0,063344;0,831514
AFAXEN;26;E8;3;4;6;5,17;1,252966;8,23961;24,58277;0,08391244;10,85123;0,017838;1
AFAXEN;26;E8;3;4;6;5,69;1,248309;8,14808;24,36524;0,08387418;10,62223;0,016152;0,999996
AFAXEN;26;E8;3;4;6;5,64;1,24721;8,12657;24,32297;0,08391122;10,58523;0,016171;1
AFAXEN;26;E8;3;4;6;5,16;1,254092;8,26184;24,64708;0,08403022;10,84842;0,01916;1
AFOXAX;19;E1;1;2;6;5,53;1,704819;20,75504;45,3479;0,08603027;25,95677;0,116865;0,972849
AFOXAX;19;E1;1;6;10;6,12;1,718821;21,27063;42,6083;0,08285262;46,51831;0,081454;0,884596
AGAQAD;26;E8;2;2;4;4,27;1,479127;13,55518;34,47982;0,09370259;2,44011;0,112443;0,799714
AGEDIC;31;E13;3;4;6;5,73;1,247724;8,13662;24,32128;0,08419802;10,64825;0;0,994607
AGEHIG;11;E1;1;1;6;6,74;1,487574;13,78874;33,02365;0,08408381;16,98277;0;0,873508
AGEHIG;11;E1;1;1;6;5,98;1,471962;13,35914;32,88058;0,08290244;17,90702;0;0,929752
AGEHIG;28;E10;2;1;6;6,03;1,275887;8,70012;25,07391;0,08358246;11,38613;0;0,963939
BEVPAU02;27;E9;2;4;6;5,68;1,295987;9,1178;25,69755;0,08342838;11,94141;0,020651;0,918761
BINNAQ;29;E11;2;2;5;4,99;1,413134;11,82056;31,32458;0,10836627;6,21257;0,400448;0,913699
BINNAQ;29;E11;2;2;5;4,74;1,365314;10,66072;29,17386;0,09434386;6,11138;0,207284;0,909061
BINNAQ;48;E12;2;2;7;5,92;1,448589;12,7328;31,50012;0,08495259;18,05772;0,087066;0,905909
BINNAQ;48;E12;2;2;7;5,57;1,463279;13,12411;32,86052;0,0855878;19,83888;0,084844;0,9765
BIQFOZ;26;E8;3;2;6;5,83;1,236647;7,92183;23,86987;0,08349122;10,48761;0,015016;1
BIQFOZ;26;E8;3;2;6;5,84;1,236339;7,91591;23,85433;0,08347681;10,4893;0,015432;1
BIRNUO;23;E5;4;16;5;3,84;1,279695;8,77825;28,13268;0,10244485;5,02679;0,22114;0,99877
BIRNUO;23;E5;4;16;5;3,85;1,307013;9,35251;29,35924;0,10397164;5,34499;0,248551;0,998456
BIRNUO;23;E5;4;16;5;3,9;1,300752;9,21876;29,127;0,10400034;5,25812;0,238723;0,999836
BIRPAW;23;E5;4;48;5;3,67;1,333978;9,9434;30,46969;0,09618721;5,85623;0,122588;0,994807
BIRPAW;23;E5;4;48;5;3,64;1,32719;9,79237;30,23176;0,09583175;5,76688;0,106794;0,996822
BIRPAW;23;E5;4;48;5;3,78;1,335244;9,97173;30,584;0,09616043;5,86998;0,09947;0,997255
BIRPAW;23;E5;4;48;5;3,81;1,324806;9,73971;30,06983;0,09706062;5,74893;0,125174;0,996614
BIVHET01;50;E14;2;2;4;5,27;1,60746;17,3984;37,40308;0,09251431;4,68696;0,443353;0,691647
BIVHET01;50;E14;2;2;4;5,71;1,593742;16,95675;37,117;0,09326056;4,87825;0,427238;0,66077
