AtNum,Group,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,PartOmegaOxygen,RMin,RMax,RAverage
29,E11(Cu),2,1,6,5.75,1.296979,9.13875,25.50054,0.08372211,12.23811,0,0.943986,1.97173,2.3303,2.10582
56,E2(Be),2,2,10,9.21,1.618184,17.74893,36.85444,0.07955552,49.37806,0.047755,0.95658,2.81718,2.93189,2.85963
25,E7(Mn),2,2,6,5.86,1.35096,10.32799,28.41768,0.08386007,13.51483,0,0.989564,2.13404,2.20318,2.17159
26,E8(Fe),2,2,6,5.87,1.321624,9.66969,27.26239,0.08397595,12.60785,0,0.994744,2.0911,2.14458,2.12284
22,E4(Ti),4,2,4,4.35,1.283177,8.85011,27.23827,0.09150051,2.9423,0.014206,0.910174,1.78276,1.79805,1.79005
11,E1(Li),1,2,6,6.18,1.468927,13.27667,32.05583,0.08233794,18.24262,0.052329,0.788133,2.28733,2.52175,2.41222
57,E3(Ln),3,2,10,8.08,1.457679,12.97401,30.19968,0.07944188,37.347,0.009584,0.999044,2.47753,2.73857,2.59116
27,E9(Co),2,4,6,5.58,1.302779,9.26192,26.27176,0.08372614,12.13795,0.034923,0.973898,2.03043,2.14669,2.09652
27,E9(Co),2,4,6,5.61,1.3047,9.30295,26.38365,0.0839159,12.10974,0.046487,0.97641,2.03495,2.15149,2.09682
27,E9(Co),2,4,6,5.59,1.307448,9.36185,26.46231,0.08394467,12.16745,0.051381,0.975545,2.02165,2.16468,2.1007
27,E9(Co),2,4,6,5.49,1.304934,9.30796,26.34164,0.08375652,12.21752,0.038959,0.969378,2.02408,2.19417,2.10102
4,E2(Be),2,2,4,4.02,1.198342,7.20827,25.98094,0.10120622,2.17015,0.024267,0.983297,1.61301,1.62347,1.61769
4,E2(Be),2,2,4,3.99,1.198971,7.21963,26.0094,0.10150914,2.16343,0.027711,0.9839,1.60645,1.62487,1.61634
58,E3(Ln),4,4,8,7.54,1.367874,10.72079,27.55398,0.0812532,22.71155,0.016176,1,2.31175,2.35993,2.33465
27,E9(Co),2,2,6,5.41,1.295216,9.10155,26.26311,0.08438791,11.62381,0.019156,0.99531,2.00205,2.20471,2.0776
27,E9(Co),2,2,6,5.47,1.321397,9.6647,26.95127,0.08539896,11.56609,0.079905,0.960604,2.02073,2.35277,2.10971
24,E6(Cr),3,4,6,5.93,1.211998,7.45752,22.90452,0.0833482,9.93744,0.004872,1,1.9391,1.96264,1.95358
24,E6(Cr),3,4,6,5.96,1.211371,7.44595,22.88065,0.08334689,9.92217,0.00465,1,1.94232,1.96192,1.95257
24,E6(Cr),3,4,6,5.94,1.213969,7.49396,22.97906,0.08334926,9.98563,0.00611,1,1.94136,1.96488,1.95674
24,E6(Cr),3,4,6,5.95,1.21658,7.54242,23.08112,0.08337457,10.04022,0.011398,1,1.94373,1.97049,1.96064
24,E6(Cr),3,4,6,5.94,1.216622,7.54321,23.08212,0.08336521,10.04395,0.007749,1,1.948,1.97063,1.96082
24,E6(Cr),3,4,6,5.97,1.218348,7.57535,23.14543,0.08335048,10.09336,0.005672,1,1.95643,1.97019,1.96376
24,E6(Cr),3,4,6,5.95,1.218679,7.58152,23.15992,0.08336544,10.09524,0.009238,1,1.94586,1.97034,1.96413
24,E6(Cr),3,4,6,5.95,1.217466,7.55891,23.11235,0.08335291,10.07053,0.005443,1,1.95613,1.96723,1.96231
24,E6(Cr),3,4,6,5.94,1.217835,7.56579,23.12599,0.0833529,10.08092,0.007665,1,1.94983,1.9752,1.96295
29,E11(Cu),2,2,4,5.09,1.366328,10.68447,28.72338,0.08995461,0,0,0.784976,1.91703,1.91874,1.91789
29,E11(Cu),2,2,4,5.09,1.367472,10.71135,28.79764,0.08996225,0,0,0.785604,1.91891,1.92044,1.91968
29,E11(Cu),2,2,4,5.09,1.368955,10.74622,28.83501,0.0899136,0,0,0.784738,1.92137,1.92343,1.9224
29,E11(Cu),2,2,4,5.05,1.375262,10.89545,29.1908,0.090355,0,0,0.789742,1.9222,1.92601,1.9241
29,E11(Cu),2,4,5,5.36,1.299404,9.19012,26.27608,0.0852137,6.05181,0.020341,0.892808,1.95158,2.19692,2.01287
29,E11(Cu),2,4,5,5.37,1.297858,9.15736,26.14418,0.08505178,5.99851,0.020846,0.890456,1.949,2.18495,2.01125
31,E13(B),3,4,6,5.92,1.215137,7.51561,23.03278,0.08341485,9.99092,0.003268,1,1.94515,1.96861,1.95785
49,E13(B),3,4,6,5.91,1.321317,9.66294,27.25115,0.08349353,12.77673,0.008783,1,2.10754,2.14616,2.1276
25,E7(Mn),3,4,6,5.93,1.163699,6.60102,21.15554,0.08365201,8.6838,0.005867,1,1.85925,1.8934,1.87222
25,E7(Mn),3,4,6,5.75,1.228703,7.77015,23.54333,0.08338672,10.35345,0.006578,1,1.9307,2.01997,1.98069
25,E7(Mn),3,4,6,5.62,1.23615,7.91228,23.85488,0.08369652,10.52225,0.014615,1,1.93113,2.11217,1.9935
