AtNum,OxSt,Group,Rsd(0),DCount,RMin,RMax,RAverage,NRMin,NRMax
29,2,E11(Cu),1.418656375,6,1.97173,2.3303,2.10582,1.389857357,1.6426106
56,2,E02(Be),2.473489875,10,2.81718,2.93189,2.85963,1.138949477,1.185325248
25,2,E07(Mn),1.449223348,6,2.13404,2.20318,2.17159,1.472540449,1.520248762
26,2,E08(Fe),1.396533658,6,2.0911,2.14458,2.12284,1.497350235,1.535645051
22,4,E04(Ti),1.614949407,4,1.78276,1.79805,1.79005,1.103910743,1.113378532
11,1,E01(Li),2.084456,6,2.28733,2.52175,2.41222,1.097327072,1.209788069
57,3,E16(Ln),2.072325611,10,2.47753,2.73857,2.59116,1.195531236,1.321495997
27,2,E09(Co),1.386164625,6,2.03043,2.14669,2.09652,1.464782727,1.548654439
27,2,E09(Co),1.386164625,6,2.03495,2.15149,2.09682,1.468043523,1.552117231
27,2,E09(Co),1.386164625,6,2.02165,2.16468,2.1007,1.458448703,1.561632696
27,2,E09(Co),1.386164625,6,2.02408,2.19417,2.10102,1.460201742,1.582907225
4,2,E02(Be),1.246801438,4,1.61301,1.62347,1.61769,1.293718431,1.302107899
4,2,E02(Be),1.246801438,4,1.60645,1.62487,1.61634,1.288456968,1.303230772
58,4,E16(Ln),2.015454154,8,2.31175,2.35993,2.33465,1.14701195,1.170917232
27,2,E09(Co),1.386164625,6,2.00205,2.20471,2.0776,1.444308969,1.590510939
27,2,E09(Co),1.386164625,6,2.02073,2.35277,2.10971,1.457785002,1.697323649
24,3,E06(Cr),1.431257333,6,1.9391,1.96264,1.95358,1.354822753,1.37126983
24,3,E06(Cr),1.431257333,6,1.94232,1.96192,1.95257,1.357072523,1.370766776
24,3,E06(Cr),1.431257333,6,1.94136,1.96488,1.95674,1.356401784,1.372834887
24,3,E06(Cr),1.431257333,6,1.94373,1.97049,1.96064,1.358057671,1.376754518
24,3,E06(Cr),1.431257333,6,1.948,1.97063,1.96082,1.361041061,1.376852334
24,3,E06(Cr),1.431257333,6,1.95643,1.97019,1.96376,1.366930987,1.376544912
24,3,E06(Cr),1.431257333,6,1.94586,1.97034,1.96413,1.359545872,1.376649715
24,3,E06(Cr),1.431257333,6,1.95613,1.96723,1.96231,1.366721382,1.3744768
