AtNum,Group,NumGroup,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,HD_PartOmega,B_PartOmega,C_PartOmega,N_PartOmega,O_PartOmega,F_PartOmega,Me_PartOmega
13,E13(B),13,3,4,4,4.07,1.280724,8.79944,28.80082,0.09843441,2.69605,0.039044,0.001508,0,0,0,0.966909,0.031583,0
11,E1(Li),1,1,4,6,5.66,1.521261,14.74688,34.19022,0.08294762,18.99345,0.054527,0.081264,0,0.018917,0.111135,0.76502,0,0.023664
27,E9(Co),9,2,2,6,6.02,1.303481,9.27689,26.1147,0.08302057,12.39655,0,0.022893,0,0,0.314703,0.662404,0,0
27,E9(Co),9,2,2,6,5.84,1.305619,9.32262,26.37122,0.08353579,12.34043,0,0.014275,0,0,0.307889,0.677836,0,0
29,E11(Cu),11,2,1,4,5.18,1.318373,9.59849,27.20407,0.08703941,0,0,0.013,0,0,0.376387,0.610613,0,0
29,E11(Cu),11,2,1,4,5.17,1.317871,9.58755,27.15667,0.08705543,0,0,0.029938,0,0,0.37662,0.593441,0,0
29,E11(Cu),11,2,1,4,5.2,1.313947,9.50216,27.01228,0.08668078,0,0,0.012188,0,0,0.374759,0.613053,0,0
29,E11(Cu),11,2,4,4,4.86,1.424326,12.10367,31.71004,0.09611102,0.11864,0.001411,0.028609,0,0,0.406125,0.428112,0,0.137154
29,E11(Cu),11,2,4,4,4.82,1.420594,12.00878,31.6488,0.09642023,0.07676,0.016465,0.023423,0,0,0.40843,0.430993,0,0.137154
29,E11(Cu),11,2,4,4,5.28,1.342351,10.13181,27.25099,0.08876739,0.00842,0.003171,0.247701,0,0,0.373616,0.378683,0,0
29,E11(Cu),11,2,2,4,5.26,1.337373,10.01951,27.32189,0.08869442,0,0,0.24663,0,0,0.373002,0.380368,0,0
29,E11(Cu),11,2,1,4,4.69,1.426459,12.15811,32.46651,0.09619748,0,0,0.014051,0,0,0.401736,0.426456,0,0
29,E11(Cu),11,2,4,4,4.77,1.413438,11.8282,31.06244,0.09514708,0.07759,0.002283,0.007708,0,0,0.434756,0.447888,0,0.109648
47,E11(Cu),11,1,4,5,5.52,1.575315,16.37537,35.65538,0.08379042,9.39013,0.12059,0.092547,0,0.060033,0.242176,0.536289,0,0.068955
47,E11(Cu),11,1,4,7,5.82,1.589028,16.80674,36.24719,0.08309126,25.3229,0.033122,0.034487,0,0.004994,0.229522,0.618352,0,0.112645
29,E11(Cu),11,2,1,4,5.39,1.328661,9.82496,27.65481,0.08517916,0,0,0,0,0.00093,0.370808,0.628262,0,0
65,E19(Ln),19,3,2,8,8,1.393202,11.32742,28.71724,0.08223441,22.60397,0,0,0,0,0,1,0,0
74,E6(Cr),6,6,4,6,4.28,1.210864,7.43661,23.48045,0.08610307,9.3421,0.014003,0,0,0,0,1,0,0
74,E6(Cr),6,6,4,6,4.32,1.207772,7.37977,23.34071,0.08600949,9.28833,0.012761,0,0,0,0,1,0,0
74,E6(Cr),6,6,4,6,4.3,1.210267,7.42562,23.47778,0.08620355,9.28985,0.01757,0,0,0,0,1,0,0
3,E1(Li),1,1,2,4,5.19,1.427426,12.18288,30.50657,0.08788038,3.68705,0.056037,0.311432,0,0.118069,0.542647,0,0,0.027853
3,E1(Li),1,1,2,4,5.12,1.425938,12.1448,30.38856,0.08744119,3.33096,0.064965,0.332969,0,0.095087,0.543398,0,0,0.028546
3,E1(Li),1,1,2,3,5.15,1.432766,12.32012,30.63552,0.08763976,0,0.07318,0.334406,0,0.089088,0.543421,0,0,0.033085
3,E1(Li),1,1,2,4,5.19,1.433291,12.33366,30.65206,0.08765004,3.65837,0.059723,0.317331,0,0.110669,0.540328,0,0,0.031672
3,E1(Li),1,1,2,3,5.09,1.437463,12.44166,30.90484,0.087245,0,0.066067,0.326244,0,0.105801,0.545381,0,0,0.022573
3,E1(Li),1,1,2,3,5.37,1.424394,12.10539,30.20346,0.08788956,0,0.126811,0.361751,0,0.064368,0.538035,0,0,0.035847
3,E1(Li),1,1,8,3,4.97,1.364538,10.64254,27.94527,0.08605995,0,0.071953,0.348494,0,0.032416,0.538347,0,0,0.080743
3,E1(Li),1,1,8,3,5.26,1.34872,10.2767,26.97264,0.08534731,0,0.090956,0.376834,0,0.041087,0.501336,0,0,0.080743
23,E5(V),5,4,4,6,5.75,1.260202,8.38319,25.30846,0.09190751,8.06277,0.015869,0.009011,0,0,0.302479,0.68851,0,0
23,E5(V),5,4,4,6,5.7,1.260653,8.39218,25.39935,0.09194108,8.11274,0.011274,0.007244,0,0,0.300913,0.691844,0,0
50,E14(C),14,2,2,4,5.66,1.691483,20.27178,41.57733,0.09675308,4.8581,0.57205,0.005593,0,0.157727,0.152364,0.684316,0,0
82,E14(C),14,2,2,5,6.24,1.601442,17.20373,37.05183,0.08592574,10.45527,0.308714,0.143347,0,0.058308,0.103579,0.694766,0,0
82,E14(C),14,2,2,4,6.09,1.671428,19.55923,40.9493,0.08933922,6.19221,0.397822,0,0,0.248237,0.104766,0.646997,0,0
30,E12(Zn),12,2,2,4,4.52,1.358664,10.5057,29.22552,0.08840045,3.66914,0.080962,0.193266,0,0.001037,0.371254,0.434442,0,0
25,E7(Mn),7,2,4,4,6.23,1.372611,10.83255,27.35042,0.08248303,4.37893,0.025639,0.336167,0,0,0.633987,0,0,0.029846
25,E7(Mn),7,2,8,3,4.96,1.392618,11.31317,28.95045,0.08731721,0,0.103028,0.43019,0,0,0.554887,0,0,0.014923
28,E10(Ni),10,2,4,4,5.03,1.357224,10.47233,28.28225,0.09145376,0.23828,0.041469,0.22074,0,0.000557,0.778703,0,0,0
47,E11(Cu),11,1,2,3,5.58,1.571212,16.24773,36.16935,0.08634871,0,0.226073,0.407646,0,0,0.568986,0.023369,0,0
47,E11(Cu),11,1,4,2,4.78,1.672521,19.59762,40.60412,0.08776706,0,0.111782,0.385358,0,0.503074,0,0,0.111568,0
47,E11(Cu),11,1,4,2,4.74,1.644845,18.64075,39.55814,0.08610916,0,0,0.280094,0,0.567683,0.152223,0,0,0
47,E11(Cu),11,1,4,2,4.57,1.701758,20.64344,42.9651,0.08834996,0,0,0.163356,0,0.522293,0.13608,0,0.176873,0.001399
47,E11(Cu),11,1,4,2,5.38,1.585126,16.68322,36.66865,0.08455149,0,0.078666,0.077182,0,0.182985,0.535188,0,0.203246,0.001399
26,E8(Fe),8,2,8,10,10.18,1.291947,9.03281,25.58663,0.09108265,11.8096,0.057682,0.044698,0,0.955302,0,0,0,0
28,E10(Ni),10,2,2,4,4.81,1.39899,11.46917,30.48308,0.09941814,1.18602,0.012541,0.17311,0,0.01083,0.402339,0.413721,0,0
30,E12(Zn),12,2,4,4,4.6,1.398089,11.44704,31.88378,0.09386471,3.50931,0.135741,0.018833,0,0.010105,0.409378,0.561683,0,0
30,E12(Zn),12,2,4,4,4.63,1.406006,11.6426,32.01672,0.0938059,3.50972,0.164295,0.013864,0,0.01565,0.404229,0.566258,0,0
26,E8(Fe),8,2,2,10,10.14,1.296663,9.13209,26.08399,0.09151646,11.74005,0.031795,0.036386,0,0.963614,0,0,0,0
26,E8(Fe),8,2,2,10,9.82,1.30564,9.32306,26.79559,0.09268055,11.39921,0.040784,0.026035,0,0.973965,0,0,0,0
81,E13(B),13,3,2,7,6.41,1.406791,11.66213,29.71247,0.08308318,18.7306,0.094075,0.0222,0,0,0.520934,0.456866,0,0
49,E13(B),13,3,2,6,6.21,1.36205,10.58444,27.94879,0.08343472,13.54948,0.116192,0.018266,0,0,0.508309,0.473425,0,0
31,E13(B),13,3,2,6,5.75,1.258868,8.35659,24.36627,0.08432373,10.91699,0.111765,0.015489,0,0.000001,0.47097,0.51354,0,0
46,E10(Ni),10,2,4,4,5.16,1.464161,13.14787,32.56318,0.09155684,1.48118,0.030402,0.091738,0,0,0.76185,0.146412,0,0
29,E11(Cu),11,2,2,4,5.16,1.391222,11.2792,30.23033,0.0881215,0,0,0.022537,0,0,0.770187,0,0.207276,0
